PointName,Fluid,P_kPa_paper,T_C_paper,h_kJ_kg_paper,s_kJ_kgK_paper,e_kJ_kg_paper,m_dot_kg_s,P_Pa_calc,T_K_calc,h_J_kg_calc,s_J_kgK_calc,d_kg_m3_calc,e_J_kg_calc,e_kJ_kg_calc,e_diff_kJ_kg
SCBC 1,CO2,7400.0,35.0,402.4,1.66,200.84,1945.09,7400000.0,308.15,402404.75572520634,1663.4096344304762,259.7743838873871,200338.31511487602,200.33831511487602,-0.5016848851239786
SCBC 2,CO2,24198.0,121.73,453.36,1.68,246.29,1945.09,24198000.0,394.88,453349.8310676644,1682.8387999449872,484.2839301304514,245790.5710747267,245.7905710747267,-0.49942892527329263
SCBC 3,CO2,24198.0,281.92,696.46,2.21,341.3,2641.42,24198000.0,555.0699999999999,696459.086690157,2206.153035581544,242.58176008008164,340953.65914040833,340.9536591404083,-0.3463408595916917
SCBC 4,CO2,24198.0,417.94,867.76,2.48,434.43,2641.42,24198000.0,691.0899999999999,867759.6031193573,2482.374329694182,182.0156814643681,434163.6535110247,434.16365351102473,-0.26634648897527313
SCBC 5,CO2,24198.0,599.85,1094.91,2.77,579.03,2641.42,24198000.0,873.0,1094911.4384443238,2774.0771460456017,139.88549937237005,578848.1856252814,578.8481856252814,-0.18181437471855588
SCBC 6,CO2,7400.0,455.03,932.38,2.8,409.4,2641.42,7400000.0,728.18,932380.7965314474,2799.1420391824713,53.618560244996516,409231.4477736807,409.23144777368066,-0.16855222631932065
SCBC 7,CO2,7400.0,306.16,761.08,2.54,312.52,2641.42,7400000.0,579.31,761084.9967625276,2536.1709353585024,69.03567358974527,312280.20876683504,312.280208766835,-0.23979123316496498
SCBC 8,CO2,7400.0,147.55,582.06,2.17,235.75,1945.09,7400000.0,420.7,582069.9766002012,2174.8795754457215,104.46219844289838,235405.86896545097,235.40586896545096,-0.3441310345490365
SCBC 9,CO2,7400.0,84.26,503.44,1.97,214.69,1945.09,7400000.0,357.40999999999997,503440.394134765,1971.8597032100447,140.33388922206697,214172.03457976293,214.17203457976294,-0.5179654202370614
ORC 09,R245fa,1500.0,127.76,505.35,1.86,61.21,677.22,1500000.0,400.90999999999997,505938.4097858179,1865.6787089065424,76.33410200689114,61441.357637887646,61.44135763788765,0.23135763788764763
ORC 010,R245fa,445.1,94.67,485.51,1.88,37.52,677.22,445100.0,367.82,485992.7832428087,1879.0555125933101,21.104660810607395,37713.97492459236,37.71397492459236,0.19397492459235366
ORC 011,R245fa,445.1,58.66,278.39,1.26,5.4,677.22,445100.0,331.80999999999995,278853.5296384435,1260.466343980133,1241.1047760404417,5456.065178858436,5.456065178858436,0.05606517885843587
ORC 012,R245fa,1500.0,59.37,279.52,1.26,6.29,677.22,1500000.0,332.52,279988.5376766088,1261.3275868658877,1244.1194855412882,6347.591240791982,6.347591240791982,0.0575912407919823
